feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
3143,dna-private,58,52,6,8016,757,0.8184464404524284,-0.2890400857895409,0.6358237371480248,0.896551724137931,0.10344827586206896,6.388400221161359e-26
3145,dna-private,43,41,2,8027,761,1.943503176778373,0.9586594658549641,0.582055335925062,0.9534883720930233,0.046511627906976744,6.388400221161359e-26
3146,dna-private,102,93,9,7975,754,0.9769696969696969,-0.03361428060521082,0.859940421890961,0.9117647058823529,0.08823529411764706,1.499676973186056e-14
3147,dna-private,61,53,8,8015,755,0.6240642545227698,-0.6802335162662699,0.24579488446630005,0.8688524590163934,0.13114754098360656,6.137591276259506e-74
3148,dna-private,143,142,1,7926,762,13.651778955336866,3.77101705503002,6.165927075834488e-05,0.993006993006993,0.006993006993006993,6.137591276259506e-74
3149,dna-private,27,24,3,8044,760,0.7558428642466435,-0.40384175797440397,0.5034960913993611,0.8888888888888888,0.1111111111111111,1.3486175434808079e-64
3150,dead,14,11,3,8057,760,0.34586901659012864,-1.5317023139427457,0.1142871290727978,0.7857142857142857,0.21428571428571427,6.137591276259506e-74
3151,dna-private,18,15,3,8053,760,0.4718738358375761,-1.0835269148384212,0.19951958732975172,0.8333333333333334,0.16666666666666666,6.137591276259506e-74
3152,dna-private,17,12,5,8056,758,0.22581926514399206,-2.146759524001899,0.0122129485169433,0.7058823529411765,0.29411764705882354,6.137591276259506e-74
3154,dna-private,21,19,2,8049,761,0.8981861100757859,-0.15491368303454628,0.7021801097644735,0.9047619047619048,0.09523809523809523,6.388400221161359e-26
3155,shared,25,24,1,8044,762,2.2734957732471406,1.1849123219091262,0.7193889252568892,0.96,0.04,6.388400221161359e-26
3157,dna-private,59,50,9,8018,754,0.5224356309414927,-0.9366748005496942,0.0964140808248437,0.847457627118644,0.15254237288135594,6.137591276259506e-74
3158,dna-private,35,31,4,8037,759,0.7318962299365435,-0.4502889807611938,0.5400047448892422,0.8857142857142857,0.11428571428571428,6.388400221161359e-26
3159,dna-private,39,34,5,8034,758,0.6415733134179736,-0.640313961511398,0.3819673631645426,0.8717948717948718,0.1282051282051282,1.3486175434808079e-64
3160,prot-private,59,52,7,8016,756,0.7005988023952096,-0.5133395728906478,0.3504617436888584,0.8813559322033898,0.11864406779661017,1.3486175434808079e-64
3161,dead,14,13,1,8055,762,1.2297951582867783,0.29841803204048295,1.0,0.9285714285714286,0.07142857142857142,1.499676973186056e-14
3162,dna-private,24,20,4,8048,759,0.47154572564612324,-1.0845304195026986,0.14800296197823892,0.8333333333333334,0.16666666666666666,6.137591276259506e-74
3163,dna-private,12,11,1,8057,762,1.0403375946382027,0.05705176594078467,1.0,0.9166666666666666,0.08333333333333333,8.510575869671689e-13
3164,dna-private,30,25,5,8043,758,0.4712172075096357,-1.0855358716452634,0.1780799653288134,0.8333333333333334,0.16666666666666666,6.137591276259506e-74
3165,dna-private,80,72,8,7996,755,0.849799899949975,-0.23480492108987405,0.6869671106431896,0.9,0.1,6.388400221161359e-26
3166,dna-private,62,58,4,8010,759,1.3739700374531836,0.458350543246966,0.8188517430519309,0.9354838709677419,0.06451612903225806,1.499676973186056e-14
