feature,category,n_active,active_path,active_ben,inactive_path,inactive_ben,odds_ratio,log2_or,p_value,path_rate_active,ben_rate_active,q_value
186,prot-private,32,32,0,8036,763,6.175262863186711,2.626500549384666,0.10839836940242864,1.0,0.0,0.31936542193388956
187,dna-private,13,9,4,8059,759,0.21190594366546717,-2.2385040410308137,0.021001542276485385,0.6923076923076923,0.3076923076923077,0.10125743597591168
188,prot-private,95,71,24,7997,739,0.27337855862615146,-1.8710279996272148,1.0931788197397995e-06,0.7473684210526316,0.25263157894736843,2.5988779488153724e-05
189,dna-private,34,32,2,8036,761,1.5151816824290691,0.5994907947702535,0.765131878985169,0.9411764705882353,0.058823529411764705,0.9627088941327722
190,dna-private,77,67,10,8001,753,0.6305586801649794,-0.665297460029744,0.2160320986526576,0.8701298701298701,0.12987012987012986,0.5075210272884063
192,prot-private,182,171,11,7897,752,1.4803320017958488,0.5659207729008772,0.23190369512907263,0.9395604395604396,0.06043956043956044,0.5335337599439407
193,dna-private,68,61,7,8007,756,0.8227800674409891,-0.28142125113676786,0.6617752807851063,0.8970588235294118,0.10294117647058823,0.901825343293552
194,dna-private,35,31,4,8037,759,0.7318962299365435,-0.4502889807611938,0.5400047448892422,0.8857142857142857,0.11428571428571428,0.8512168205510157
195,dna-private,26,16,10,8052,753,0.1496274217585693,-2.7405534971367738,3.223721394060441e-05,0.6153846153846154,0.38461538461538464,0.0005077361195645195
196,dna-private,53,47,6,8021,757,0.739288534264223,-0.43579055634829733,0.45863866272651665,0.8867924528301887,0.11320754716981132,0.771541675614701
197,dna-private,169,154,15,7914,748,0.970364754443602,-0.04340094499868141,0.8898524457075705,0.9112426035502958,0.08875739644970414,1.0
199,dead,29,29,0,8039,763,5.603146961875739,2.486237332723165,0.17242845368326137,1.0,0.0,0.44009423019765564
200,dna-private,26,20,6,8048,757,0.31353545394300864,-1.673299505653589,0.020956108383636048,0.7692307692307693,0.23076923076923078,0.10125743597591168
201,dna-private,56,53,3,8015,760,1.6751923476814305,0.7443267571310803,0.6293208291051453,0.9464285714285714,0.05357142857142857,0.8899486472193974
202,dna-private,23,20,3,8048,760,0.629555997349238,-0.667593387308373,0.4442764268572269,0.8695652173913043,0.13043478260869565,0.7581782814990148
205,dna-private,40,39,1,8029,762,3.7013326690746045,1.8880448082821413,0.2551092409239627,0.975,0.025,0.5513510181203997
206,prot-private,468,409,59,7659,704,0.6371943055804515,-0.6501947209110701,0.002947588264360007,0.8739316239316239,0.12606837606837606,0.023212257581835056
208,dna-private,10,10,0,8058,763,1.9896382701495317,0.9925061627800148,1.0,1.0,0.0,1.0
209,dna-private,33,24,9,8044,754,0.2499585612464777,-2.000239153757844,0.001479159292841882,0.7272727272727273,0.2727272727272727,0.013472824402270635
